Con Vendedor;Tipo canal;Activo;Fecha Vinculación;Fecha retiro;SUCURSAL FINAL;Oficina;Segmentacion;caracteristicas;Estado;Año_Vinculacion;Mes_Vinculacion;Tiempo_Compañia;;
2209;Minorista;0;16/06/2015;4/08/2003;BOLIVAR;20002;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2015;6;-12,0;;
527;Supermayorista;0;27/08/2013;30/12/2001;VALLE;10004;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2013;8;-11,8;;
2515;Minorista;0;3/10/2014;13/04/2003;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;10;-11,6;;
2832;Supermayorista;0;27/08/2013;25/03/2002;BOGOTA CORREDORES ;10001;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2013;8;-11,6;;
1896;Supermayorista;0;11/09/2015;16/04/2004;CALDAS;20005;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2015;9;-11,6;;
532;Minorista;0;11/10/2014;20/07/2003;VALLE;10004;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;10;-11,4;;
2827;Mayorista;0;13/06/2013;25/03/2002;CAUCA;20009;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2013;6;-11,4;;
888;Mayorista;0;27/08/2013;7/07/2003;BOGOTA CUNDINAMARCA;10001;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2013;8;-10,3;;
862;Mayorista;0;27/08/2013;7/07/2003;BOGOTA CUNDINAMARCA;10001;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2013;8;-10,3;;
1527;Mayorista;0;27/08/2013;15/08/2003;SANTANDER;10006;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2013;8;-10,2;;
1867;Minorista;0;7/03/2012;25/03/2002;ANTIOQUIA;10003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;3;-10,1;;
2014;Minorista;0;29/10/2013;25/04/2004;ATLANTICO;10005;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2013;10;-9,7;;
A3467;Minorista;0;16/07/2012;15/08/2003;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;7;-9,1;;
3520;Minorista;0;17/07/2012;6/09/2003;ANTIOQUIA;10003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;7;-9,0;;
3587;Minorista;0;15/06/2012;13/10/2003;BOGOTA CUNDINAMARCA;10001;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;6;-8,8;;
1798;Minorista;0;22/01/2010;8/01/2002;TOLIMA;20004;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2010;1;-8,2;;
1721;Minorista;0;21/01/2010;28/04/2002;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2010;1;-7,8;;
3279;Minorista;0;11/01/2011;2/08/2003;VALLE;10004;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2011;1;-7,6;;
1706;Minorista;0;1/08/2010;11/03/2003;ARAUCA;30001;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2010;8;-7,5;;
1970;Minorista;0;17/07/2012;19/04/2005;ANTIOQUIA;10003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;7;-7,4;;
3246;Minorista;0;2/10/2011;1/08/2004;CESAR;20012;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2011;10;-7,3;;
1462;Minorista;0;1/08/2010;8/08/2003;TOLIMA;20004;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2010;8;-7,1;;
808;Minorista;0;13/06/2015;3/08/2008;BOGOTA CUNDINAMARCA;10001;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2015;6;-7,0;;
556;Minorista;0;25/05/2010;20/07/2003;VALLE;10004;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2010;5;-6,9;;
2733;Minorista;0;22/01/2010;13/04/2003;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2010;1;-6,9;;
404;Minorista;0;29/04/2010;1/09/2003;NARIÑO;30004;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2010;4;-6,8;;
1845;Minorista;0;27/08/2007;14/09/2001;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;8;-6,0;;
1727;Minorista;0;23/08/2007;16/09/2001;CASANARE;20014;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;8;-6,0;;
2905;Minorista;0;27/08/2007;26/11/2001;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;8;-5,8;;
338;Mayorista;0;24/08/2007;8/01/2002;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;8;-5,7;;
2318;Minorista;0;24/08/2007;24/02/2002;BOLIVAR;20002;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;8;-5,6;;
A1291;Minorista;0;23/09/2009;1/08/2004;CESAR;20012;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2009;9;-5,2;;
1858;Minorista;0;27/08/2007;18/12/2002;PUTUMAYO;30003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;8;-4,8;;
1832;Minorista;0;27/08/2007;14/01/2003;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;8;-4,7;;
2718;Mayorista;0;27/08/2007;17/02/2003;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;8;-4,6;;
2886;Mayorista;0;24/08/2007;22/02/2003;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;8;-4,6;;
495;Mayorista;0;1/11/2013;12/02/2010;VALLE;10004;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2013;11;-3,8;;
1956;Minorista;0;24/08/2007;15/03/2004;CALDAS;20005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;8;-3,5;;
1859;Minorista;0;4/04/2005;25/03/2002;NARIÑO;30004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;4;-3,1;;
A837;Mayorista;0;18/01/2001;18/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
A740;Mayorista;0;18/01/2001;18/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
A4999;Minorista;0;20/01/2015;20/01/2015;META;20013;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2015;1;0,0;;
A4971;Minorista;0;2/02/2015;2/02/2015;ATLANTICO;10005;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2015;2;0,0;;
A4851;Minorista;0;2/02/2015;2/02/2015;ATLANTICO;10005;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2015;2;0,0;;
A4834;Minorista;0;7/01/2014;7/01/2014;NORTE DE SANTANDER;20003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;1;0,0;;
A4828;Minorista;0;2/02/2015;2/02/2015;ATLANTICO;10005;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2015;2;0,0;;
A4827;Minorista;0;30/05/2014;30/05/2014;VALLE;10004;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;5;0,0;;
A4825;Minorista;0;11/11/2014;11/11/2014;ATLANTICO;10005;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;11;0,0;;
A4819;Minorista;0;2/02/2015;2/02/2015;ATLANTICO;10005;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2015;2;0,0;;
A4774;Minorista;0;12/12/2013;12/12/2013;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2013;12;0,0;;
A4720;Mayorista;0;4/09/2014;4/09/2014;BOGOTA CUNDINAMARCA;10001;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2014;9;0,0;;
A4709;Minorista;0;7/01/2014;7/01/2014;NORTE DE SANTANDER;20003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;1;0,0;;
A4702;Minorista;0;4/09/2014;4/09/2014;BOGOTA CUNDINAMARCA;10001;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;9;0,0;;
A4700;Minorista;0;2/10/2014;2/10/2014;GUAJIRA;20010;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;10;0,0;;
A4687;Minorista;0;22/01/2014;22/01/2014;HUILA;20007;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;1;0,0;;
A4670;Minorista;0;3/10/2014;3/10/2014;SUCRE;30006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;10;0,0;;
A4639;Minorista;0;2/11/2013;2/11/2013;BOLIVAR;20002;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2013;11;0,0;;
A4603;Minorista;0;20/02/2014;20/02/2014;BOYACA;20011;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;2;0,0;;
A4593;Minorista;0;2/11/2013;2/11/2013;NORTE DE SANTANDER;20003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2013;11;0,0;;
A4584;Mayorista;0;4/09/2014;4/09/2014;BOGOTA CUNDINAMARCA;10001;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2014;9;0,0;;
A4577;Mayorista;0;27/11/2012;27/11/2012;VALLE;10004;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2012;11;0,0;;
A4551;Minorista;0;28/01/2014;28/01/2014;GUAJIRA;20010;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;1;0,0;;
A4544;Minorista;0;3/10/2014;3/10/2014;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;10;0,0;;
A4528;Minorista;0;8/05/2013;8/05/2013;CASANARE;20014;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2013;5;0,0;;
A4507;Minorista;0;8/01/2014;8/01/2014;META;20013;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;1;0,0;;
A4505;Minorista;0;2/12/2015;2/12/2015;RISARALDA;20008;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2015;12;0,0;;
A4470;Minorista;0;29/10/2012;29/10/2012;NORTE DE SANTANDER;20003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;10;0,0;;
A4455;Minorista;0;29/10/2013;29/10/2013;VALLE;10004;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2013;10;0,0;;
A4435;Minorista;0;3/10/2014;3/10/2014;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;10;0,0;;
A4394;Minorista;0;12/12/2013;12/12/2013;NORTE DE SANTANDER;20003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2013;12;0,0;;
A4385;Minorista;0;27/11/2012;27/11/2012;ATLANTICO;10005;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;11;0,0;;
A4293;Minorista;0;11/05/2015;11/05/2015;CAUCA;20009;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2015;5;0,0;;
A4292;Minorista;0;9/07/2012;9/07/2012;CALDAS;20005;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;7;0,0;;
A4269;Mayorista;0;20/02/2014;20/02/2014;BOYACA;20011;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2014;2;0,0;;
A4193;Minorista;0;15/11/2012;15/11/2012;GUAJIRA;20010;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;11;0,0;;
A4176;Minorista;0;15/11/2012;15/11/2012;GUAJIRA;20010;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;11;0,0;;
A4175;Minorista;0;3/10/2014;3/10/2014;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2014;10;0,0;;
A4147;Minorista;0;29/10/2012;29/10/2012;NORTE DE SANTANDER;20003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;10;0,0;;
A4141;Minorista;0;15/11/2012;15/11/2012;GUAJIRA;20010;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;11;0,0;;
A4041;Minorista;0;30/03/2010;30/03/2010;ATLANTICO;10005;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2010;3;0,0;;
A3965;Minorista;0;8/09/2011;8/09/2011;ANTIOQUIA;10003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2011;9;0,0;;
A3915;Minorista;0;15/11/2012;15/11/2012;CASANARE;20014;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;11;0,0;;
A3890;Minorista;0;29/10/2012;29/10/2012;NORTE DE SANTANDER;20003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;10;0,0;;
A3888;Minorista;0;5/05/2015;5/05/2015;ARAUCA;30001;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2015;5;0,0;;
A3847;Mayorista;0;26/09/2008;26/09/2008;BOGOTA CUNDINAMARCA;10001;Deserción Tipo V;Niveles bajos de deserción;Inactivo;2008;9;0,0;;
A3824;Minorista;0;13/08/2008;13/08/2008;NORTE DE SANTANDER;20003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2008;8;0,0;;
A3787;Mayorista;0;25/04/2007;25/04/2007;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;4;0,0;;
A3770;Minorista;0;28/03/2007;28/03/2007;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;3;0,0;;
A3762;Minorista;0;31/05/2006;31/05/2006;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2006;5;0,0;;
A3747;Minorista;0;28/03/2007;28/03/2007;GUAJIRA;20010;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;3;0,0;;
A3737;Minorista;0;16/11/2012;16/11/2012;QUINDIO;20001;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;11;0,0;;
A3732;Minorista;0;7/12/2006;7/12/2006;RISARALDA;20008;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2006;12;0,0;;
A3727;Minorista;0;14/06/2005;14/06/2005;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;6;0,0;;
A3722;Minorista;0;24/05/2005;24/05/2005;CAQUETA;30002;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;5;0,0;;
A3721;Minorista;0;26/09/2006;26/09/2006;NORTE DE SANTANDER;20003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2006;9;0,0;;
A3711;Minorista;0;5/06/2005;5/06/2005;BOLIVAR;20002;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;6;0,0;;
A3709;Minorista;0;14/06/2005;14/06/2005;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;6;0,0;;
A3631;Minorista;0;10/06/2004;10/06/2004;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;6;0,0;;
A3628;Minorista;0;24/06/2004;24/06/2004;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;6;0,0;;
A3619;Minorista;0;7/10/2006;7/10/2006;CALDAS;20005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2006;10;0,0;;
A3602;Minorista;0;29/01/2003;29/01/2003;NARIÑO;30004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;1;0,0;;
A3598;Minorista;0;25/10/2005;25/10/2005;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;10;0,0;;
A3586;Minorista;0;26/09/2006;26/09/2006;NORTE DE SANTANDER;20003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2006;9;0,0;;
A3568;Mayorista;0;28/03/2007;28/03/2007;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;3;0,0;;
A3545;Minorista;0;30/10/2001;30/10/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;10;0,0;;
A3532;Minorista;0;10/04/2002;10/04/2002;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;4;0,0;;
A3530;Minorista;0;7/11/2001;7/11/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;11;0,0;;
A3490;Minorista;0;25/04/2001;25/04/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;4;0,0;;
A3480;Minorista;0;14/03/2001;14/03/2001;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;3;0,0;;
A3443;Minorista;0;26/05/2003;26/05/2003;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;5;0,0;;
A3429;Minorista;0;15/11/2000;15/11/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;11;0,0;;
A3421;Minorista;0;3/05/2004;3/05/2004;CALDAS;20005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;5;0,0;;
A3384;Minorista;0;15/11/2000;15/11/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;11;0,0;;
A3252;Minorista;0;13/02/2001;13/02/2001;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
A3044;Mayorista;0;24/01/2001;24/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
A3042;Minorista;0;16/02/2001;16/02/2001;NORTE DE SANTANDER;20003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
A3026;Minorista;0;15/02/2001;15/02/2001;BOLIVAR;20002;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
A2930;Minorista;0;19/02/2001;19/02/2001;CAQUETA;30002;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
A2928;Minorista;0;26/09/2000;26/09/2000;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;9;0,0;;
A2918;Minorista;0;15/11/2000;15/11/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;11;0,0;;
A2886;Minorista;0;21/09/2001;21/09/2001;QUINDIO;20001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;9;0,0;;
A2883;Minorista;0;30/01/2001;30/01/2001;RISARALDA;20008;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
A2882;Minorista;0;28/03/2007;28/03/2007;CORDOBA;20006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;3;0,0;;
A2850;Minorista;0;17/11/2000;17/11/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;11;0,0;;
